Season	Location	Variety	Disease Response
"None"	"Djidja, Benin"	"MAKSOY 4N"	"Unknown"
"None"	"Djidja, Benin"	"MAKSOY 5N"	"Unknown"
"None"	"Djidja, Benin"	"Panorama 1"	"Unknown"
"None"	"Djidja, Benin"	"Panorama 2"	"Unknown"
"None"	"Djidja, Benin"	"Panorama 27 D"	"Unknown"
"None"	"Djidja, Benin"	"Panorama 29 I"	"Unknown"
"None"	"Djidja, Benin"	"Panorama 3"	"Unknown"
"None"	"Djidja, Benin"	"Panorama 357"	"Unknown"
"None"	"Djidja, Benin"	"Panorama 358"	"Unknown"
"None"	"Djidja, Benin"	"Quarshie"	"Unknown"
"None"	"Djidja, Benin"	"S1079/6/7"	"Unknown"
"None"	"Djidja, Benin"	"Salintuya-I"	"Unknown"
"None"	"Djidja, Benin"	"SC SAXON"	"Unknown"
"None"	"Djidja, Benin"	"SC SENTINEL"	"Unknown"
"None"	"Djidja, Benin"	"SC SIGNAL"	"Unknown"
"None"	"Djidja, Benin"	"SC SPIKE"	"Unknown"
"None"	"Djidja, Benin"	"Songda"	"Unknown"
"None"	"Djidja, Benin"	"Suong-Pungun"	"Unknown"
"None"	"Djidja, Benin"	"TGX 2001-6FM"	"Unknown"
"None"	"Djidja, Benin"	"TGX 2001-8DM"	"Unknown"
"None"	"Djidja, Benin"	"TGX 2002-3DM"	"Unknown"
"None"	"Djidja, Benin"	"TGX 2014-16FM"	"Unknown"
"None"	"Djidja, Benin"	"TGX 2014-23FM"	"Unknown"
"None"	"Djidja, Benin"	"TGX 2014-5GM"	"Unknown"
"None"	"Glazoue, Benin"	"Afayak"	"Unknown"
"None"	"Glazoue, Benin"	"Favour"	"Unknown"
"None"	"Glazoue, Benin"	"Jenguma"	"Unknown"
"None"	"Glazoue, Benin"	"MAKSOY 1N"	"Unknown"
"None"	"Glazoue, Benin"	"MAKSOY 2N"	"Unknown"
"None"	"Glazoue, Benin"	"MAKSOY 3N"	"Unknown"
"None"	"Glazoue, Benin"	"MAKSOY 4N"	"Unknown"
"None"	"Glazoue, Benin"	"MAKSOY 5N"	"Unknown"
"None"	"Glazoue, Benin"	"Panorama 1"	"Unknown"
"None"	"Glazoue, Benin"	"Panorama 2"	"Unknown"
"None"	"Glazoue, Benin"	"Panorama 27 D"	"Unknown"
"None"	"Glazoue, Benin"	"Panorama 29 I"	"Unknown"
"None"	"Glazoue, Benin"	"Panorama 3"	"Unknown"
"None"	"Glazoue, Benin"	"Panorama 357"	"Unknown"
"None"	"Glazoue, Benin"	"Panorama 358"	"Unknown"
"None"	"Glazoue, Benin"	"Quarshie"	"Unknown"
"None"	"Glazoue, Benin"	"S1079/6/7"	"Unknown"
"None"	"Glazoue, Benin"	"Salintuya-I"	"Unknown"
"None"	"Glazoue, Benin"	"SC SAXON"	"Unknown"
"None"	"Glazoue, Benin"	"SC SENTINEL"	"Unknown"
"None"	"Glazoue, Benin"	"SC SIGNAL"	"Unknown"
"None"	"Glazoue, Benin"	"SC SPIKE"	"Unknown"
"None"	"Glazoue, Benin"	"Songda"	"Unknown"
"None"	"Glazoue, Benin"	"Suong-Pungun"	"Unknown"
"None"	"Glazoue, Benin"	"TGX 2001-6FM"	"Unknown"
"None"	"Glazoue, Benin"	"TGX 2001-8DM"	"Unknown"
"None"	"Glazoue, Benin"	"TGX 2002-3DM"	"Unknown"
"None"	"Glazoue, Benin"	"TGX 2014-16FM"	"Unknown"
"None"	"Glazoue, Benin"	"TGX 2014-23FM"	"Unknown"
"None"	"Glazoue, Benin"	"TGX 2014-5GM"	"Unknown"
"None"	"Kerou, Benin"	"Afayak"	"Unknown"
"None"	"Kerou, Benin"	"Favour"	"Unknown"
"None"	"Kerou, Benin"	"Jenguma"	"Unknown"
"None"	"Kerou, Benin"	"MAKSOY 1N"	"Unknown"
"None"	"Kerou, Benin"	"MAKSOY 2N"	"Unknown"
"None"	"Kerou, Benin"	"MAKSOY 3N"	"Unknown"
"None"	"Kerou, Benin"	"MAKSOY 4N"	"Unknown"
"None"	"Kerou, Benin"	"MAKSOY 5N"	"Unknown"
"None"	"Kerou, Benin"	"Panorama 1"	"Unknown"
"None"	"Kerou, Benin"	"Panorama 2"	"Unknown"
"None"	"Kerou, Benin"	"Panorama 27 D"	"Unknown"
"None"	"Kerou, Benin"	"Panorama 29 I"	"Unknown"
"None"	"Kerou, Benin"	"Panorama 3"	"Unknown"
"None"	"Kerou, Benin"	"Panorama 357"	"Unknown"
"None"	"Kerou, Benin"	"Panorama 358"	"Unknown"
"None"	"Kerou, Benin"	"Quarshie"	"Unknown"
"None"	"Kerou, Benin"	"S1079/6/7"	"Unknown"
"None"	"Kerou, Benin"	"Salintuya-I"	"Unknown"
"None"	"Kerou, Benin"	"SC SAXON"	"Unknown"
"None"	"Kerou, Benin"	"SC SENTINEL"	"Unknown"
"None"	"Kerou, Benin"	"SC SIGNAL"	"Unknown"
"None"	"Kerou, Benin"	"SC SPIKE"	"Unknown"
"None"	"Kerou, Benin"	"Songda"	"Unknown"
"None"	"Kerou, Benin"	"Suong-Pungun"	"Unknown"
"None"	"Kerou, Benin"	"TGX 2001-6FM"	"Unknown"
"None"	"Kerou, Benin"	"TGX 2001-8DM"	"Unknown"
"None"	"Kerou, Benin"	"TGX 2002-3DM"	"Unknown"
"None"	"Kerou, Benin"	"TGX 2014-16FM"	"Unknown"
"None"	"Kerou, Benin"	"TGX 2014-23FM"	"Unknown"
"None"	"Kerou, Benin"	"TGX 2014-5GM"	"Unknown"
"None"	"Nikki, Benin"	"Afayak"	"Unknown"
"None"	"Nikki, Benin"	"Favour"	"Unknown"
"None"	"Nikki, Benin"	"Jenguma"	"Unknown"
"None"	"Nikki, Benin"	"MAKSOY 1N"	"Unknown"
"None"	"Nikki, Benin"	"MAKSOY 2N"	"Unknown"
"None"	"Nikki, Benin"	"MAKSOY 3N"	"Unknown"
"None"	"Nikki, Benin"	"MAKSOY 4N"	"Unknown"
"None"	"Nikki, Benin"	"MAKSOY 5N"	"Unknown"
"None"	"Nikki, Benin"	"Panorama 1"	"Unknown"
"None"	"Nikki, Benin"	"Panorama 2"	"Unknown"
"None"	"Nikki, Benin"	"Panorama 27 D"	"Unknown"
"None"	"Nikki, Benin"	"Panorama 29 I"	"Unknown"
"None"	"Nikki, Benin"	"Panorama 3"	"Unknown"
"None"	"Nikki, Benin"	"Panorama 357"	"Unknown"
"None"	"Nikki, Benin"	"Panorama 358"	"Unknown"
"None"	"Nikki, Benin"	"Quarshie"	"Unknown"
"None"	"Nikki, Benin"	"S1079/6/7"	"Unknown"
"None"	"Nikki, Benin"	"Salintuya-I"	"Unknown"
"None"	"Nikki, Benin"	"SC SAXON"	"Unknown"
"None"	"Nikki, Benin"	"SC SENTINEL"	"Unknown"
"None"	"Nikki, Benin"	"SC SIGNAL"	"Unknown"
"None"	"Nikki, Benin"	"SC SPIKE"	"Unknown"
"None"	"Nikki, Benin"	"Songda"	"Unknown"
"None"	"Nikki, Benin"	"Suong-Pungun"	"Unknown"
"None"	"Nikki, Benin"	"TGX 2001-6FM"	"Unknown"
"None"	"Nikki, Benin"	"TGX 2001-8DM"	"Unknown"
"None"	"Nikki, Benin"	"TGX 2002-3DM"	"Unknown"
"None"	"Nikki, Benin"	"TGX 2014-16FM"	"Unknown"
"None"	"Nikki, Benin"	"TGX 2014-23FM"	"Unknown"
"None"	"Nikki, Benin"	"TGX 2014-5GM"	"Unknown"
"None"	"Savalou, Benin"	"Afayak"	"Unknown"
"None"	"Savalou, Benin"	"Favour"	"Unknown"
"None"	"Savalou, Benin"	"Jenguma"	"Unknown"
"None"	"Savalou, Benin"	"MAKSOY 1N"	"Unknown"
"None"	"Savalou, Benin"	"MAKSOY 2N"	"Unknown"
"None"	"Savalou, Benin"	"MAKSOY 3N"	"Unknown"
"None"	"Savalou, Benin"	"MAKSOY 4N"	"Unknown"
"None"	"Savalou, Benin"	"MAKSOY 5N"	"Unknown"
"None"	"Savalou, Benin"	"Panorama 1"	"Unknown"
"None"	"Savalou, Benin"	"Panorama 2"	"Unknown"
"None"	"Savalou, Benin"	"Panorama 27 D"	"Unknown"
"None"	"Savalou, Benin"	"Panorama 29 I"	"Unknown"
"None"	"Savalou, Benin"	"Panorama 3"	"Unknown"
"None"	"Savalou, Benin"	"Panorama 357"	"Unknown"
"None"	"Savalou, Benin"	"Panorama 358"	"Unknown"
"None"	"Savalou, Benin"	"Quarshie"	"Unknown"
